66-71-7	c1cnc2c(c1)ccc3cccnc23
70648-26-9	Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl
53-70-3	c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23
66772-14-3	66772-14-3Did not work
85233-19-8	[K+].[K+].[K+].[K+].[O-]C(=O)CN(CC([O-])=O)c1ccccc1OCCOc2ccccc2N(CC([O-])=O)CC([O-])=O
149-45-1	[Na+].[Na+].Oc1cc(cc(c1O)[S]([O-])(=O)=O)[S]([O-])(=O)=O
540-73-8	CNNC
59985-28-3	CCCCC/C=C/CC(O)\C=C\C=C\C\C=C\CCCC(O)=O
524-42-5	O=C1C=Cc2ccccc2C1=O
96-23-1	OC(CCl)CCl
541-73-1	Clc1cccc(Cl)c1
61805-96-7	CNC(=S)NC
81276-03-1	CCCCCC1OC1C\C=C\C\C=C\C\C=C\CCCC(O)=O
128-95-0	Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12
3337-17-5	C1C=CNC=C1
130-15-4	O=C1C=CC(=O)c2ccccc12
85539-83-9	N#C[Se]Cc1ccc(C[Se]C#N)cc1
73945-47-8	CCCCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCC(O)=O
84477-87-2	CC1CNCCN1[S](=O)(=O)c2cccc3cnccc23
54982-79-5	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](Br)[C@@H]2O
71765-94-1	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](I)[C@@H]2O
21466-08-0	C[C@]12CC[C@H]3[C@@H](CCC4=C3CC[C@@H](O)C4)[C@@H]1CC[C@@]2(O)C#C
230-46-6	c1cnc2c(c1)ccc3ncccc23
1449-05-4	CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C([O-])=O
42397-65-9	[O-][N+](=O)c1ccc2ccc3ccc(c4ccc1c2c34)[N+]([O-])=O
116-85-8	Nc1ccc(O)c2C(=O)c3ccccc3C(=O)c12
82-45-1	Nc1cccc2C(=O)c3ccccc3C(=O)c12
1614-12-6	Nn1nnc2ccccc12
2905-56-8	[H+].[Cl-].C1CCN(CC1)Cc2ccccc2
106-94-5	CCCBr
71-36-3	CCCCO
86-48-6	OC(=O)c1ccc2ccccc2c1O
28822-58-4	CC(C)CN1C(=O)N(C)C(=O)c2[nH]cnc12
48134-75-4	[Cl-].C[n+]1ccc(cc1)c2ccccc2
610-48-0	Cc1cccc2cc3ccccc3cc12
832-69-9	Cc1cccc2c1ccc3ccccc23
90-15-3	Oc1cccc2ccccc12
551-06-4	S=C=Nc1cccc2ccccc12
5522-43-0	[O-][N+](=O)c1ccc2ccc3cccc4ccc1c2c34
35065-28-2	Clc1ccc(c(Cl)c1Cl)c2cc(Cl)c(Cl)cc2Cl
38379-99-6	Clc1ccc(Cl)c(c1)c2c(Cl)ccc(Cl)c2Cl
131-55-5	Oc1ccc(c(O)c1)C(=O)c2ccc(O)cc2O
6846-50-0	CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C
13217-66-8	[H+].[H+].[Cl-].[Cl-].CC(C)(N=NC(C)(C)C(N)=N)C(N)=N
1806-29-7	Oc1ccccc1c2ccccc2O
1675-54-3	CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3
3253-39-2	CC(=C)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(OC(=O)C(C)=C)cc2
17711-16-9	CC(C)CCC(O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
146724-94-9	[NH3+]CCN(CC[NH3+])N(O)N=O
38380-08-4	Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
57117-31-4	Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl
133186-49-9	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](Oc1c(O)cc(O)cc1\C=C\c2ccc(O)cc2)C=O
119209-27-7	CC(OC(=O)Nc1cc(Cl)cc(Cl)c1)(C=C)C(O)=O
119212-33-8	N[C@@H](CCC(=O)N[C@](CS)(C(=O)NCC(O)=O)c1cc(O)c(c(c1O)[C@](CS)(NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)[C@](CS)(NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(O)=O
80809-81-0	CC1=C(C)C(=O)C(=C(C)C1=O)CCCCC#CCCCC#CCO
51207-31-9	Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl
120225-54-9	CCNC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)nc(NCCc4ccc(CCC(O)=O)cc4)nc23
7012-37-5	Clc1ccc(cc1)c2ccc(Cl)cc2Cl
37680-73-2	Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)cc2Cl
95-95-4	Oc1cc(Cl)c(Cl)cc1Cl
26306-61-6	[H+].[Cl-].Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
1836-77-7	[O-][N+](=O)c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
120-83-2	Oc1ccc(Cl)cc1Cl
94-75-7	OC(=O)COc1ccc(Cl)cc1Cl
474-73-7	CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
2295-31-0	O=C1CSC(=O)N1
35693-99-3	Clc1ccc(Cl)c(c1)c2cc(Cl)ccc2Cl
2140-46-7	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
77-90-7	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
105650-23-5	Cn1c(N)nc2ncc(cc12)c3ccccc3
77500-04-0	Cn1c(N)nc2c1ccc3ncc(C)nc23
76180-96-6	[H+].[Br-].Cn1c(N)nc2c1ccc3ncccc23
117-79-3	Nc1ccc2C(=O)c3ccccc3C(=O)c2c1
153-78-6	Nc1ccc2c(Cc3ccccc23)c1
452-06-2	Nc1ncc2[nH]cnc2n1
613-13-8	Nc1ccc2cc3ccccc3cc2c1
4170-30-3	C\C=C/C=O
92-04-6	Oc1ccc(cc1Cl)c2ccccc2
693-07-2	CCSCCCl
95-48-7	Cc1ccccc1O
95-50-1	Clc1ccccc1Cl
53209-27-1	53209-27-1Did not work
362-05-0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CC[C@@H]2O
